village_id,year,domestic_demand_mcm,agricultural_demand_mcm,industrial_demand_mcm,total_demand_mcm,available_supply_mcm,deficit_mcm,data_source
DWK003,2021,0.496,43.16,0.124,43.78,33.9,-9.88,estimated
DWK003,2022,0.506,43.99,0.126,44.62,36.12,-8.5,estimated
DWK003,2023,0.515,44.82,0.129,45.46,32.0,-13.46,estimated
DWK003,2024,0.525,45.65,0.131,46.31,38.72,-7.59,estimated
DWK004,2019,0.852,56.0,0.213,57.06,52.72,-4.34,estimated
DWK004,2020,0.869,57.12,0.217,58.21,52.25,-5.96,estimated
DWK004,2021,0.886,58.24,0.222,59.35,45.96,-13.39,estimated
DWK004,2022,0.903,59.36,0.226,60.49,48.97,-11.52,estimated
DWK004,2023,0.92,60.48,0.23,61.63,43.39,-18.24,estimated
DWK004,2024,0.937,61.6,0.234,62.77,52.48,-10.29,estimated
BTD001,2019,0.756,62.0,0.189,62.95,58.17,-4.78,estimated
BTD001,2020,0.771,63.24,0.193,64.2,57.63,-6.57,estimated
BTD001,2021,0.786,64.48,0.197,65.46,50.69,-14.77,estimated
BTD001,2022,0.801,65.72,0.2,66.72,54.02,-12.7,estimated
BTD001,2023,0.816,66.96,0.204,67.98,47.86,-20.12,estimated
BTD001,2024,0.832,68.2,0.208,69.24,57.88,-11.36,estimated
BTD002,2019,0.399,34.5,0.1,35.0,32.34,-2.66,estimated
BTD002,2020,0.407,35.19,0.102,35.7,32.04,-3.66,estimated
BTD002,2021,0.415,35.88,0.104,36.4,28.19,-8.21,estimated
BTD002,2022,0.423,36.57,0.106,37.1,30.04,-7.06,estimated
BTD002,2023,0.431,37.26,0.108,37.8,26.61,-11.19,estimated
BTD002,2024,0.439,37.95,0.11,38.5,32.19,-6.31,estimated
BTD003,2019,0.434,37.0,0.108,37.54,34.69,-2.85,estimated
BTD003,2020,0.443,37.74,0.11,38.29,34.37,-3.92,estimated
BTD003,2021,0.451,38.48,0.112,39.04,30.23,-8.81,estimated
BTD003,2022,0.46,39.22,0.114,39.79,32.21,-7.58,estimated
BTD003,2023,0.469,39.96,0.117,40.55,28.55,-12.0,estimated
BTD003,2024,0.477,40.7,0.119,41.3,34.53,-6.77,estimated
